item_id,title,transcript_url,recording_year,branch,download_status,local_path
afc2001001_01514,Andrew Radonich Collection,https://tile.loc.gov/storage-services/service/vhp/0015/001514/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_01514.xml
afc2001001_00850,James A. Workman Collection,https://tile.loc.gov/storage-services/service/vhp/0008/000850/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_00850.xml
afc2001001_20704,Franklin James Klesack Collection,https://tile.loc.gov/storage-services/service/vhp/0207/020704/sr0001.xml,2004,navy,ok,data\vhp_transcripts\afc2001001_20704.xml
afc2001001_18269,"Mike Shuminski, Jr. Collection",https://tile.loc.gov/storage-services/service/vhp/0182/018269/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_18269.xml
afc2001001_10456,Theodore E. Sliwa Collection,https://tile.loc.gov/storage-services/service/vhp/0104/010456/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_10456.xml
afc2001001_01513,Albert J. Boehnlein Collection,https://tile.loc.gov/storage-services/service/vhp/0015/001513/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_01513.xml
afc2001001_18260,"Robert E. Emerson, Jr. Collection",https://tile.loc.gov/storage-services/service/vhp/0182/018260/sr0001.xml,2005,army,ok,data\vhp_transcripts\afc2001001_18260.xml
afc2001001_47493,Norman C. Adams Collection,https://tile.loc.gov/storage-services/service/vhp/0474/047493/mv0001.xml,2007,army air forces/corps,ok,data\vhp_transcripts\afc2001001_47493.xml
afc2001001_07607,Leon E. Kent Collection,https://tile.loc.gov/storage-services/service/vhp/0076/007607/sr0001.xml,2003,army,ok,data\vhp_transcripts\afc2001001_07607.xml
afc2001001_01701,Edwin J. Stoch Collection,https://tile.loc.gov/storage-services/service/vhp/0017/001701/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_01701.xml
afc2001001_05232,Aaron S. Fox Collection,https://tile.loc.gov/storage-services/service/vhp/0052/005232/sr0001.xml,2003,marine corps,ok,data\vhp_transcripts\afc2001001_05232.xml
afc2001001_33681,Earl Lester Mahl Collection,https://tile.loc.gov/storage-services/service/vhp/0336/033681/sr0001.xml,2006,army,ok,data\vhp_transcripts\afc2001001_33681.xml
afc2001001_00987,Robert O. Noyer Collection,https://tile.loc.gov/storage-services/service/vhp/0009/000987/sr0001.xml,2002,navy,ok,data\vhp_transcripts\afc2001001_00987.xml
afc2001001_18268,Edward C. Sawyer Collection,https://tile.loc.gov/storage-services/service/vhp/0182/018268/sr0001.xml,2004,army air forces/corps,ok,data\vhp_transcripts\afc2001001_18268.xml
afc2001001_63687,William B. Long Collection,https://tile.loc.gov/storage-services/service/vhp/0636/063687/sr0001.xml,2009,army,ok,data\vhp_transcripts\afc2001001_63687.xml
afc2001001_20412,Mike Rebich Collection,https://tile.loc.gov/storage-services/service/vhp/0204/020412/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_20412.xml
afc2001001_48925,Werner H. Schlaupitz Collection,https://tile.loc.gov/storage-services/service/vhp/0489/048925/mv0001.xml,2007,army,ok,data\vhp_transcripts\afc2001001_48925.xml
afc2001001_23444,Ann A. Holley Collection,https://tile.loc.gov/storage-services/service/vhp/0234/023444/sr0001.xml,2005,army nurse corps,ok,data\vhp_transcripts\afc2001001_23444.xml
afc2001001_07682,"Charles Jordan, Jr. Collection",https://tile.loc.gov/storage-services/service/vhp/0076/007682/sr0001.xml,2003,army,ok,data\vhp_transcripts\afc2001001_07682.xml
afc2001001_10430,Alvin Harry Wedler Collection,https://tile.loc.gov/storage-services/service/vhp/0104/010430/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_10430.xml
afc2001001_25068,Clarence William Dotson Collection,https://tile.loc.gov/storage-services/service/vhp/0250/025068/pn0001.xml,2005,army,ok,data\vhp_transcripts\afc2001001_25068.xml
afc2001001_05397,Rutherford Vincent Brice Collection,https://tile.loc.gov/storage-services/service/vhp/0053/005397/sr0001.xml,2003,navy,ok,data\vhp_transcripts\afc2001001_05397.xml
afc2001001_05546,Sherwin H. Goodman Collection,https://tile.loc.gov/storage-services/service/vhp/0055/005546/sr0001.xml,2003,navy,ok,data\vhp_transcripts\afc2001001_05546.xml
afc2001001_23309,Victor W. McIntire Collection,https://tile.loc.gov/storage-services/service/vhp/0233/023309/sr0001.xml,2005,navy,ok,data\vhp_transcripts\afc2001001_23309.xml
afc2001001_01508,Robert C. Lawrence Collection,https://tile.loc.gov/storage-services/service/vhp/0015/001508/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_01508.xml
afc2001001_00867,"Joseph De Luca, Jr. Collection",https://tile.loc.gov/storage-services/service/vhp/0008/000867/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_00867.xml
afc2001001_00462,Fred J. Breger Collection,https://tile.loc.gov/storage-services/service/vhp/0004/000462/sr0001.xml,2002,navy,ok,data\vhp_transcripts\afc2001001_00462.xml
afc2001001_20425,Robert McKee McMillan Collection,https://tile.loc.gov/storage-services/service/vhp/0204/020425/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_20425.xml
afc2001001_05251,Ralph Frank Youngmann Collection,https://tile.loc.gov/storage-services/service/vhp/0052/005251/sr0001.xml,2003,army,ok,data\vhp_transcripts\afc2001001_05251.xml
afc2001001_07683,Arthur Joseph Clayton Collection,https://tile.loc.gov/storage-services/service/vhp/0076/007683/sr0001.xml,2003,army,ok,data\vhp_transcripts\afc2001001_07683.xml
afc2001001_20724,David Ellison Ferris Collection,https://tile.loc.gov/storage-services/service/vhp/0207/020724/sr0001.xml,2004,army air forces/corps,ok,data\vhp_transcripts\afc2001001_20724.xml
afc2001001_08357,Isao Fujimoto Collection,https://tile.loc.gov/storage-services/service/vhp/0083/008357/sr0001.xml,2003,army,ok,data\vhp_transcripts\afc2001001_08357.xml
afc2001001_05225,Howard M. Buchholz Collection,https://tile.loc.gov/storage-services/service/vhp/0052/005225/sr0001.xml,2003,army,ok,data\vhp_transcripts\afc2001001_05225.xml
afc2001001_00705,Jack Blank Collection,https://tile.loc.gov/storage-services/service/vhp/0007/000705/sr0001.xml,2002,navy,ok,data\vhp_transcripts\afc2001001_00705.xml
afc2001001_11295,August George Pavis Collection,https://tile.loc.gov/storage-services/service/vhp/0112/011295/sr0001.xml,2004,navy,ok,data\vhp_transcripts\afc2001001_11295.xml
afc2001001_20726,Robert A. von Sternberg Collection,https://tile.loc.gov/storage-services/service/vhp/0207/020726/sr0001.xml,2004,army air forces/corps,ok,data\vhp_transcripts\afc2001001_20726.xml
